Year,PTS,Goal,3P,2P,FT,BKL,lat,long,State
2004,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2004,255.7,177.9,149.5,60.6,89.7,24094,28,-81.76,Florida
2004,495,367.5,276.9,105.6,112,42245,40.37,-82.99,Ohio
2004,327.9,245.4,205.6,85.6,85.3,28189,41.2,-77.19,Pennsylvania
2004,495,367.5,276.9,105.6,112,42245,40.37,-82.99,Ohio
2004,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2004,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2004,445,321.8,254.4,89.7,110.3,44204,34.04,-111.09,Arizona
2004,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2004,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2004,445,321.8,254.4,89.7,110.3,44204,34.04,-111.09,Arizona
2004,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2004,352.1,279.3,226.7,77.8,113.2,36187,40.27,-86.13,Indiana
2004,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2004,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2004,445,321.8,254.4,89.7,110.3,44204,34.04,-111.09,Arizona
2004,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2004,226.6,178.3,141.9,47.4,88.9,30112,44.18,-84.51,Michigan
2005,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2005,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2005,226.6,178.3,141.9,47.4,88.9,30112,44.18,-84.51,Michigan
2005,332.7,246.3,206.9,69.9,93.7,32214,36.78,-119.42,California
2005,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2005,155.6,126.4,93.1,36.2,38.4,16044,39.83,-74.87,New Jersey
2005,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2005,298.2,218.6,182.4,68.8,114.1,26130,46.39,-94.64,Minnesota
2005,135.5,105.8,96.4,30,44.8,14088,35.86,-86.66,Tennessee
2005,226.6,178.3,141.9,47.4,88.9,30112,44.18,-84.51,Michigan
2005,327.9,245.4,205.6,85.6,85.3,28189,41.2,-77.19,Pennsylvania
2005,495,367.5,276.9,105.6,112,42245,40.37,-82.99,Ohio
2005,445,321.8,254.4,89.7,110.3,44204,34.04,-111.09,Arizona
2005,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2005,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2005,445,321.8,254.4,89.7,110.3,44204,34.04,-111.09,Arizona
2005,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2005,352.1,279.3,226.7,77.8,113.2,36187,40.27,-86.13,Indiana
2005,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2005,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2005,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2005,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2005,226.6,178.3,141.9,47.4,88.9,30112,44.18,-84.51,Michigan
2005,226.6,178.3,141.9,47.4,88.9,30112,44.18,-84.51,Michigan
2006,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2006,222.2,161.1,130.9,51.7,53,18116,39.11,-105.36,Colorado
2006,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2006,226.6,178.3,141.9,47.4,88.9,30112,44.18,-84.51,Michigan
2006,254.2,183.6,136.4,52.1,79.4,26187,39.42,-111.95,Utah
2006,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2006,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2006,155.6,126.4,93.1,36.2,38.4,16044,39.83,-74.87,New Jersey
2006,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2006,298.2,218.6,182.4,68.8,114.1,26130,46.39,-94.64,Minnesota
2006,226.6,178.3,141.9,47.4,88.9,30112,44.18,-84.51,Michigan
2006,255.7,177.9,149.5,60.6,89.7,24094,28,-81.76,Florida
2006,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2006,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2006,495,367.5,276.9,105.6,112,42245,40.37,-82.99,Ohio
2006,342.1,269.5,197,62.7,82.8,36225,33.25,-83.44,Georgia
2006,155.6,126.4,93.1,36.2,38.4,16044,39.83,-74.87,New Jersey
2006,445,321.8,254.4,89.7,110.3,44204,34.04,-111.09,Arizona
2006,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2006,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2006,445,321.8,254.4,89.7,110.3,44204,34.04,-111.09,Arizona
2006,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2006,352.1,279.3,226.7,77.8,113.2,36187,40.27,-86.13,Indiana
2006,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2006,254.2,183.6,136.4,52.1,79.4,26187,39.42,-111.95,Utah
2006,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2006,445,321.8,254.4,89.7,110.3,44204,34.04,-111.09,Arizona
2006,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2007,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2007,222.2,161.1,130.9,51.7,53,18116,39.11,-105.36,Colorado
2007,226.6,178.3,141.9,47.4,88.9,30112,44.18,-84.51,Michigan
2007,254.2,183.6,136.4,52.1,79.4,26187,39.42,-111.95,Utah
2007,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2007,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2007,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2007,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2007,226.6,178.3,141.9,47.4,88.9,30112,44.18,-84.51,Michigan
2007,255.7,177.9,149.5,60.6,89.7,24094,28,-81.76,Florida
2007,222.2,161.1,130.9,51.7,53,18116,39.11,-105.36,Colorado
2007,495,367.5,276.9,105.6,112,42245,40.37,-82.99,Ohio
2007,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2007,342.1,269.5,197,62.7,82.8,36225,33.25,-83.44,Georgia
2007,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2007,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2007,445,321.8,254.4,89.7,110.3,44204,34.04,-111.09,Arizona
2007,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2007,405.7,304.3,259.3,90.8,114.2,36206,30.39,-92.33,Louisiana
2007,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2007,305.8,235.5,173.2,66,60.7,26175,44,-120.5,New Hampshire
2007,445,321.8,254.4,89.7,110.3,44204,34.04,-111.09,Arizona
2007,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2007,226.6,178.3,141.9,47.4,88.9,30112,44.18,-84.51,Michigan
2007,405.7,304.3,259.3,90.8,114.2,36206,30.39,-92.33,Louisiana
2008,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2008,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2008,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2008,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2008,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2008,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2008,352.1,279.3,226.7,77.8,113.2,36187,40.27,-86.13,Indiana
2008,155.6,126.4,93.1,36.2,38.4,16044,39.83,-74.87,New Jersey
2008,255.7,177.9,149.5,60.6,89.7,24094,28,-81.76,Florida
2008,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2008,495,367.5,276.9,105.6,112,42245,40.37,-82.99,Ohio
2008,342.1,269.5,197,62.7,82.8,36225,33.25,-83.44,Georgia
2008,255.7,177.9,149.5,60.6,89.7,24094,28,-81.76,Florida
2008,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2008,255.7,177.9,149.5,60.6,89.7,24094,28,-81.76,Florida
2008,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2008,445,321.8,254.4,89.7,110.3,44204,34.04,-111.09,Arizona
2008,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2008,405.7,304.3,259.3,90.8,114.2,36206,30.39,-92.33,Louisiana
2008,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2008,305.8,235.5,173.2,66,60.7,26175,44,-120.5,New Hampshire
2008,445,321.8,254.4,89.7,110.3,44204,34.04,-111.09,Arizona
2008,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2008,405.7,304.3,259.3,90.8,114.2,36206,30.39,-92.33,Louisiana
2008,495,367.5,276.9,105.6,112,42245,40.37,-82.99,Ohio
2009,222.2,161.1,130.9,51.7,53,18116,39.11,-105.36,Colorado
2009,222.2,161.1,130.9,51.7,53,18116,39.11,-105.36,Colorado
2009,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2009,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2009,467.2,345.7,252.7,115.1,111.8,36251,36.08,-96.92,Oklahoma
2009,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2009,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2009,342.1,269.5,197,62.7,82.8,36225,33.25,-83.44,Georgia
2009,255.7,177.9,149.5,60.6,89.7,24094,28,-81.76,Florida
2009,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2009,495,367.5,276.9,105.6,112,42245,40.37,-82.99,Ohio
2009,342.1,269.5,197,62.7,82.8,36225,33.25,-83.44,Georgia
2009,332.7,246.3,206.9,69.9,93.7,32214,36.78,-119.42,California
2009,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2009,389.8,301,229.7,77.1,95,34253,43,-75,New York
2009,445,321.8,254.4,89.7,110.3,44204,34.04,-111.09,Arizona
2009,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2009,405.7,304.3,259.3,90.8,114.2,36206,30.39,-92.33,Louisiana
2009,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2009,135.5,105.8,96.4,30,44.8,14088,35.86,-86.66,Tennessee
2009,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2009,323.5,251.7,199.4,70.8,81.9,32235,40,-89,Illinois
2009,305.8,235.5,173.2,66,60.7,26175,44,-120.5,New Hampshire
2009,445,321.8,254.4,89.7,110.3,44204,34.04,-111.09,Arizona
2009,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2009,89.1,68.2,42.4,18.5,17.9,8060,35.78,-80.79,North Carolina
2009,254.2,183.6,136.4,52.1,79.4,26187,39.42,-111.95,Utah
2010,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2010,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2010,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2010,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2010,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2010,467.2,345.7,252.7,115.1,111.8,36251,36.08,-96.92,Oklahoma
2010,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2010,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2010,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2010,332.7,246.3,206.9,69.9,93.7,32214,36.78,-119.42,California
2010,342.1,269.5,197,62.7,82.8,36225,33.25,-83.44,Georgia
2010,255.7,177.9,149.5,60.6,89.7,24094,28,-81.76,Florida
2010,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2010,342.1,269.5,197,62.7,82.8,36225,33.25,-83.44,Georgia
2010,298.2,218.6,182.4,68.8,114.1,26130,46.39,-94.64,Minnesota
2010,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2010,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2010,405.7,304.3,259.3,90.8,114.2,36206,30.39,-92.33,Louisiana
2010,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2010,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2010,323.5,251.7,199.4,70.8,81.9,32235,40,-89,Illinois
2010,389.8,301,229.7,77.1,95,34253,43,-75,New York
2010,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2010,467.2,345.7,252.7,115.1,111.8,36251,36.08,-96.92,Oklahoma
2010,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2011,305.8,235.5,173.2,66,60.7,26175,44,-120.5,New Hampshire
2011,389.8,301,229.7,77.1,95,34253,43,-75,New York
2011,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2011,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2011,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2011,323.5,251.7,199.4,70.8,81.9,32235,40,-89,Illinois
2011,467.2,345.7,252.7,115.1,111.8,36251,36.08,-96.92,Oklahoma
2011,135.5,105.8,96.4,30,44.8,14088,35.86,-86.66,Tennessee
2011,332.7,246.3,206.9,69.9,93.7,32214,36.78,-119.42,California
2011,352.1,279.3,226.7,77.8,113.2,36187,40.27,-86.13,Indiana
2011,255.7,177.9,149.5,60.6,89.7,24094,28,-81.76,Florida
2011,327.9,245.4,205.6,85.6,85.3,28189,41.2,-77.19,Pennsylvania
2011,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2011,342.1,269.5,197,62.7,82.8,36225,33.25,-83.44,Georgia
2011,298.2,218.6,182.4,68.8,114.1,26130,46.39,-94.64,Minnesota
2011,445,321.8,254.4,89.7,110.3,44204,34.04,-111.09,Arizona
2011,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2011,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2011,332.7,246.3,206.9,69.9,93.7,32214,36.78,-119.42,California
2011,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2011,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2011,323.5,251.7,199.4,70.8,81.9,32235,40,-89,Illinois
2011,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2011,467.2,345.7,252.7,115.1,111.8,36251,36.08,-96.92,Oklahoma
2011,155.6,126.4,93.1,36.2,38.4,16044,39.83,-74.87,New Jersey
2012,305.8,235.5,173.2,66,60.7,26175,44,-120.5,New Hampshire
2012,389.8,301,229.7,77.1,95,34253,43,-75,New York
2012,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2012,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2012,389.8,301,229.7,77.1,95,34253,43,-75,New York
2012,323.5,251.7,199.4,70.8,81.9,32235,40,-89,Illinois
2012,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2012,467.2,345.7,252.7,115.1,111.8,36251,36.08,-96.92,Oklahoma
2012,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2012,352.1,279.3,226.7,77.8,113.2,36187,40.27,-86.13,Indiana
2012,332.7,246.3,206.9,69.9,93.7,32214,36.78,-119.42,California
2012,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2012,327.9,245.4,205.6,85.6,85.3,28189,41.2,-77.19,Pennsylvania
2012,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2012,495,367.5,276.9,105.6,112,42245,40.37,-82.99,Ohio
2012,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2012,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2012,389.8,301,229.7,77.1,95,34253,43,-75,New York
2012,323.5,251.7,199.4,70.8,81.9,32235,40,-89,Illinois
2012,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2012,332.7,246.3,206.9,69.9,93.7,32214,36.78,-119.42,California
2012,135.5,105.8,96.4,30,44.8,14088,35.86,-86.66,Tennessee
2012,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2012,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2012,467.2,345.7,252.7,115.1,111.8,36251,36.08,-96.92,Oklahoma
2013,305.8,235.5,173.2,66,60.7,26175,44,-120.5,New Hampshire
2013,389.8,301,229.7,77.1,95,34253,43,-75,New York
2013,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2013,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2013,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2013,405.7,304.3,259.3,90.8,114.2,36206,30.39,-92.33,Louisiana
2013,467.2,345.7,252.7,115.1,111.8,36251,36.08,-96.92,Oklahoma
2013,352.1,279.3,226.7,77.8,113.2,36187,40.27,-86.13,Indiana
2013,332.7,246.3,206.9,69.9,93.7,32214,36.78,-119.42,California
2013,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2013,352.1,279.3,226.7,77.8,113.2,36187,40.27,-86.13,Indiana
2013,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2013,495,367.5,276.9,105.6,112,42245,40.37,-82.99,Ohio
2013,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2013,389.8,301,229.7,77.1,95,34253,43,-75,New York
2013,305.8,235.5,173.2,66,60.7,26175,44,-120.5,New Hampshire
2013,298.2,218.6,182.4,68.8,114.1,26130,46.39,-94.64,Minnesota
2013,342.1,269.5,197,62.7,82.8,36225,33.25,-83.44,Georgia
2013,323.5,251.7,199.4,70.8,81.9,32235,40,-89,Illinois
2013,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2013,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2013,332.7,246.3,206.9,69.9,93.7,32214,36.78,-119.42,California
2013,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2013,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2014,305.8,235.5,173.2,66,60.7,26175,44,-120.5,New Hampshire
2014,389.8,301,229.7,77.1,95,34253,43,-75,New York
2014,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2014,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2014,323.5,251.7,199.4,70.8,81.9,32235,40,-89,Illinois
2014,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2014,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2014,405.7,304.3,259.3,90.8,114.2,36206,30.39,-92.33,Louisiana
2014,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2014,467.2,345.7,252.7,115.1,111.8,36251,36.08,-96.92,Oklahoma
2014,135.5,105.8,96.4,30,44.8,14088,35.86,-86.66,Tennessee
2014,323.5,251.7,199.4,70.8,81.9,32235,40,-89,Illinois
2014,332.7,246.3,206.9,69.9,93.7,32214,36.78,-119.42,California
2014,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2014,342.1,269.5,197,62.7,82.8,36225,33.25,-83.44,Georgia
2014,495,367.5,276.9,105.6,112,42245,40.37,-82.99,Ohio
2014,495,367.5,276.9,105.6,112,42245,40.37,-82.99,Ohio
2014,342.1,269.5,197,62.7,82.8,36225,33.25,-83.44,Georgia
2014,305.8,235.5,173.2,66,60.7,26175,44,-120.5,New Hampshire
2014,342.1,269.5,197,62.7,82.8,36225,33.25,-83.44,Georgia
2014,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2014,332.7,246.3,206.9,69.9,93.7,32214,36.78,-119.42,California
2014,342.1,269.5,197,62.7,82.8,36225,33.25,-83.44,Georgia
2014,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2014,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2014,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2014,467.2,345.7,252.7,115.1,111.8,36251,36.08,-96.92,Oklahoma
2015,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2015,389.8,301,229.7,77.1,95,34253,43,-75,New York
2015,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2015,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2015,323.5,251.7,199.4,70.8,81.9,32235,40,-89,Illinois
2015,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2015,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2015,405.7,304.3,259.3,90.8,114.2,36206,30.39,-92.33,Louisiana
2015,226.6,178.3,141.9,47.4,88.9,30112,44.18,-84.51,Michigan
2015,467.2,345.7,252.7,115.1,111.8,36251,36.08,-96.92,Oklahoma
2015,323.5,251.7,199.4,70.8,81.9,32235,40,-89,Illinois
2015,352.1,279.3,226.7,77.8,113.2,36187,40.27,-86.13,Indiana
2015,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2015,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2015,342.1,269.5,197,62.7,82.8,36225,33.25,-83.44,Georgia
2015,495,367.5,276.9,105.6,112,42245,40.37,-82.99,Ohio
2015,1449.8,1075.3,867.2,345.7,400,1.35E+05,31,-100,Texas
2015,342.1,269.5,197,62.7,82.8,36225,33.25,-83.44,Georgia
2015,332.7,246.3,206.9,69.9,93.7,32214,36.78,-119.42,California
2015,628.7,483.6,347.5,127.8,154.3,64356,42.41,-71.38,Massachusetts
2015,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2015,655.5,477.1,420.2,155.8,145.8,60344,27.99,-81.76,Florida
2015,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2015,467.2,345.7,252.7,115.1,111.8,36251,36.08,-96.92,Oklahoma
2016,246,171.2,129.6,55.2,74.8,20172,44.5,-89.5,South Dakota
2016,389.8,301,229.7,77.1,95,34253,43,-75,New York
2016,323.5,251.7,199.4,70.8,81.9,32235,40,-89,Illinois
2016,755,597.4,433.7,164.8,151.1,68334,47.75,-120.74,Washington
2016,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2016,405.7,304.3,259.3,90.8,114.2,36206,30.39,-92.33,Louisiana
2016,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
2016,135.5,105.8,96.4,30,44.8,14088,35.86,-86.66,Tennessee
2016,352.1,279.3,226.7,77.8,113.2,36187,40.27,-86.13,Indiana
2016,1271,949.3,677,258.2,310.7,1.11E+05,36.77,-119.41,California
